table_name	index_name	index_type	unique	columns	source_file	status	notes
llx_societe_remise_except	idx_societe_remise_except_fk_facture_source	INDEX	N	fk_facture_source	htdocs/install/mysql/tables/llx_societe_remise_except.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_remise_except	idx_societe_remise_except_fk_soc	INDEX	N	fk_soc	htdocs/install/mysql/tables/llx_societe_remise_except.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_remise_except	idx_societe_remise_except_fk_user	INDEX	N	fk_user	htdocs/install/mysql/tables/llx_societe_remise_except.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_remise_except	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_remise_except.sql	启用	主键在建表文件中定义
llx_societe_remise_supplier	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_remise_supplier.sql	启用	主键在建表文件中定义
llx_societe_remise	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_remise.sql	启用	主键在建表文件中定义
llx_societe_rib	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_rib.sql	启用	主键在建表文件中定义
llx_societe_rib	uk_societe_rib	INDEX	Y	entity, label, fk_soc	htdocs/install/mysql/tables/llx_societe_rib.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_account	INDEX	N	fk_account	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_forme_juridique	INDEX	N	fk_forme_juridique	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_nom	INDEX	N	nom	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_pays	INDEX	N	fk_pays	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_prospectlevel	INDEX	N	fk_prospectlevel	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_shipping_method	INDEX	N	fk_shipping_method	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_stcomm	INDEX	N	fk_stcomm	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_typent	INDEX	N	fk_typent	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
